 NOFB 50INNER w, n0, rfit:0.31742299399460466 27.024311241748503 1.0
 NOFB 50OUTER w, n0, rfit:3.1270003549318193 9412.499531507376 10.0
 NOFB 50ALL w, n0, rfit:2.162936801636278 5145.202108033195 10.0
 NOFB 50M5OUTER w, n0, rfit:-0.013178710053660794 4178.03287210737 10.0
 NOFB 51INNER w, n0, rfit:0.3188682835268782 26.83169063624267 1.0
 NOFB 51OUTER w, n0, rfit:3.1380857569305136 9161.938206725054 10.0
 NOFB 51ALL w, n0, rfit:2.160791735748155 4969.170048356142 10.0
 NOFB 51M5OUTER w, n0, rfit:-0.010125049470505241 4150.754050159218 10.0
 NOFB 52INNER w, n0, rfit:0.3471863020588319 26.580258780235628 1.0
 NOFB 52OUTER w, n0, rfit:3.157090450038933 9018.348087068565 10.0
 NOFB 52ALL w, n0, rfit:2.1696889576944383 4863.399561913187 10.0
 NOFB 52M5OUTER w, n0, rfit:-0.011640994231314148 4129.2125517108025 10.0
 NOFB 53INNER w, n0, rfit:0.35729971044044795 26.709743084026947 1.0
 NOFB 53OUTER w, n0, rfit:3.170034634619177 8697.27054649254 10.0
 NOFB 53ALL w, n0, rfit:2.164716003150751 4641.523030624612 10.0
 NOFB 53M5OUTER w, n0, rfit:-0.006716659695380008 4097.2319788364775 10.0
 NOFB 54INNER w, n0, rfit:0.34785725041564897 25.712941662430122 1.0
 NOFB 54OUTER w, n0, rfit:3.1751661057964844 8405.614701797083 10.0
 NOFB 54ALL w, n0, rfit:2.1646266288582687 4471.270332353781 10.0
 NOFB 54M5OUTER w, n0, rfit:0.003288411356713222 4052.1303296887822 10.0
 NOFB 55INNER w, n0, rfit:0.35567672354637475 28.133624147688586 1.0
 NOFB 55OUTER w, n0, rfit:3.183493112959023 8442.005174104968 10.0
 NOFB 55ALL w, n0, rfit:2.1473017456672823 4424.233921305474 10.0
 NOFB 55M5OUTER w, n0, rfit:0.007627895402636868 4019.561751286637 10.0
 NOFB 56INNER w, n0, rfit:0.3304534217167421 29.86965122785232 1.0
 NOFB 56OUTER w, n0, rfit:3.1994810328556262 8601.507082321184 10.0
 NOFB 56ALL w, n0, rfit:2.134966860378926 4431.441758509179 10.0
 NOFB 56M5OUTER w, n0, rfit:-0.0036771900372996966 4012.2520149045527 10.0
 NOFB 57INNER w, n0, rfit:0.3008793830781629 31.297117421067004 1.0
 NOFB 57OUTER w, n0, rfit:3.1906216684055693 8573.090962240522 10.0
 NOFB 57ALL w, n0, rfit:2.1142099544386475 4384.971657642535 10.0
 NOFB 57M5OUTER w, n0, rfit:-0.016327816120704115 4005.2305698001724 10.0
 NOFB 58INNER w, n0, rfit:0.2673798607123445 29.687520939930142 1.0
 NOFB 58OUTER w, n0, rfit:3.1830910612553334 8297.259094659717 10.0
 NOFB 58ALL w, n0, rfit:2.109921917170381 4250.135578665938 10.0
 NOFB 58M5OUTER w, n0, rfit:-0.023129280833082223 3986.957991314231 10.0
 NOFB 59INNER w, n0, rfit:0.26214741064109337 27.779159587653936 1.0
 NOFB 59OUTER w, n0, rfit:3.1760016258838384 8214.783650644395 10.0
 NOFB 59ALL w, n0, rfit:2.1209819334592908 4252.57077240636 10.0
 NOFB 59M5OUTER w, n0, rfit:-0.023558281476672358 3962.6965970695956 10.0
 NOFB 18INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 18OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 18ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 18M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 19INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 19OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 19ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 19M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 20INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 20OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 20ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 20M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 21INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 21OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 21ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 21M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 22INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 22OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 22ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 22M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 23INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 23OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 23ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 23M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 24INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 24OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 24ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 24M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 25INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 25OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 25ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 25M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 26INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 26OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 26ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 26M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 27INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 27OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 27ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 27M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 28INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 28OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 28ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 28M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 29INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 29OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 29ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 29M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 30INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 30OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 30ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 30M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 31INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 31OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 31ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 31M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 32INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 32OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 32ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 32M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 33INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 33OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 33ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 33M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 34INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 34OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 34ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 34M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 35INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 35OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 35ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
